Date,CashValue,AssetValue,TotalValue
1983-06-22,2130.763000000001,55863.06,57993.823
1983-06-23,2130.763000000001,55896.307,58027.07
1983-06-24,2130.763000000001,55884.936,58015.699
1983-06-27,2130.763000000001,54938.784999999996,57069.547999999995
1983-06-28,2130.763000000001,53413.715,55544.477999999996
1983-06-29,2130.763000000001,53860.70999999999,55991.47299999999
1983-06-30,2130.763000000001,54044.348999999995,56175.111999999994
1983-07-01,2130.763000000001,54669.344,56800.106999999996
1983-07-05,2130.763000000001,53870.21,56000.973
1983-07-06,2130.763000000001,54603.791000000005,56734.554000000004
1983-07-07,2130.763000000001,54729.522000000004,56860.285
1983-07-08,2130.763000000001,54922.413,57053.176
1983-07-11,2130.763000000001,55679.855,57810.618
1983-07-12,2130.763000000001,55363.78500000001,57494.54800000001
1983-07-13,2130.763000000001,54769.114,56899.877
1983-07-14,2130.763000000001,54116.327,56247.09
1983-07-15,2130.763000000001,53062.47,55193.233
1983-07-18,2130.763000000001,53413.632,55544.395
1983-07-19,2130.763000000001,53584.15000000001,55714.91300000001
1983-07-20,2130.763000000001,55382.747,57513.51
1983-07-21,2130.763000000001,56325.961,58456.724
1983-07-22,2130.763000000001,57131.817,59262.58
1983-07-25,2130.763000000001,56980.68699999999,59111.44999999999
1983-07-26,2130.763000000001,57167.24500000001,59298.00800000001
1983-07-27,2130.763000000001,55859.746,57990.509
1983-07-28,2130.763000000001,54117.34000000001,56248.10300000001
1983-07-29,2130.763000000001,52874.428000000014,55005.19100000001
1983-08-01,2130.763000000001,52761.331999999995,54892.094999999994
1983-08-02,2130.763000000001,52523.352,54654.115
1983-08-03,2130.763000000001,53140.435000000005,55271.198000000004
1983-08-04,2130.763000000001,52489.638999999996,54620.401999999995
1983-08-05,2130.763000000001,52446.325,54577.087999999996
1983-08-08,2130.763000000001,51450.02099999999,53580.78399999999
1983-08-09,2130.763000000001,51795.881,53926.644
1983-08-10,2130.763000000001,52519.971,54650.734
1983-08-11,2130.763000000001,52707.641,54838.404
1983-08-12,2130.763000000001,52748.09300000001,54878.85600000001
1983-08-15,2130.763000000001,53848.13699999999,55978.89999999999
1983-08-16,2130.763000000001,53889.522999999994,56020.28599999999
1983-08-17,2130.763000000001,53593.941,55724.704
1983-08-18,2130.763000000001,52645.623,54776.386
1983-08-19,2130.763000000001,52396.96700000001,54527.73000000001
1983-08-22,2130.763000000001,51921.631,54052.394
1983-08-23,2130.763000000001,51832.501000000004,53963.264
1983-08-24,2130.763000000001,50518.887,52649.65
1983-08-25,2130.763000000001,50382.504,52513.267
1983-08-26,2130.763000000001,51282.864,53413.627
1983-08-29,2130.763000000001,51266.71,53397.473
1983-08-30,2130.763000000001,51416.859,53547.621999999996
1983-08-31,2130.763000000001,52199.41,54330.173
1983-09-01,2130.763000000001,52524.83300000001,54655.59600000001
1983-09-02,2130.763000000001,53420.178,55550.941
1983-09-06,2130.763000000001,54372.222,56502.985
1983-09-07,2130.763000000001,54277.61200000001,56408.37500000001
1983-09-08,2130.763000000001,54681.09599999999,56811.85899999999
1983-09-09,2130.763000000001,53956.204,56086.967
1983-09-12,2130.763000000001,53397.672,55528.435
